Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,emotion
60,Eric Hutchinson,The Basement,5lGimjX5CT7gL0kwB1AqQF,31,2012,acoustic,0.035569388,1.040034402,7,-3.93,1,0.0505,-0.895967749,-0.691228709,-0.039880882,0.72410705,165.949,214880,4,Intense
61,Tristan Prettyman,My Oh My,4AzRVhbDkK6pqW03h5u34I,28,2012,acoustic,0.826991856,0.603806429,0,-6.827,0,0.0242,-0.881178477,0.278440562,-0.432777672,0.955003303,96.042,218587,4,Sad
62,Ann Sally,Mother's Song,3pkVDKAPIhrpsAR79fa05P,30,2012,acoustic,-1.449702914,-2.084540872,0,-14.469,1,0.0384,1.801370003,-0.691131468,-0.432777672,-0.378236351,76.388,310640,4,Happy
63,Sara Bareilles,Beautiful Girl,35THgVT9h3X5UTqthKkr4d,29,2012,acoustic,0.924564489,-1.902655988,7,-12.539,0,0.105,1.801370003,-0.691228709,-0.581978985,-0.270236491,124.948,242907,4,Happy
64,Harley Poe,I Am The Living Dead,4k5Gc1tzDHNnkMQmB3ArkC,29,2012,acoustic,0.089776407,0.463326235,2,-8.252,0,0.0363,-0.314200065,-0.690916443,-0.591925739,1.159830624,92.43,205493,4,Sad
65,The Civil Wars,I Heard The Bells On Christmas Day,1qSBHo7rjtqYdd0XJB8ngq,28,2012,acoustic,-0.246307107,-1.828719044,2,-14.504,0,0.0421,1.550656639,-0.691202139,-0.581978985,-0.884718454,90.078,154440,4,Happy
66,Boyce Avenue,Here Without You,3Fwdij9seLaCGs4yOCQcJM,43,2012,acoustic,0.69147431,-0.298224293,9,-6.78,0,0.0286,1.021059871,-0.691228709,-0.689901268,0.076107889,143.822,220000,4,Sad
67,Tristan Prettyman,I Was Gonna Marry You,2ikbRpHU3pH3Y0va9we9s6,28,2012,acoustic,-0.484817988,-0.682696405,1,-10.041,1,0.0379,-0.009963624,-0.652606289,-0.627236717,0.146866418,82.726,191720,4,Intense
68,Ingrid Michaelson,Ghost,6UGhHbDZ76PqGR2C9pdWbb,29,2012,acoustic,-0.099948158,-0.575487835,2,-5.808,1,0.0249,0.099899536,-0.691228709,-0.388017278,-0.612856737,88.03,241640,4,Intense
69,Jason Mraz,You Fckn' Did It - Live,0k78hapVRILyPAdOenCevc,30,2012,acoustic,0.111459214,0.023401415,11,-9.822,0,0.071,0.874575659,-0.691228709,3.724965578,0.910313706,124.911,305330,4,Energetic
